Region,Province,TypeOfWork,FundingYear,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,StartDate,Contractor,ContractId,ProjectId,,,,,,,,,,,,,
XIV,Mountain Province,Construction of Flood Mitigation Structure,2024,96500000,96500000,8/12/2024,2/26/2024,E.T. LATAWAN CONSTRUCTION,24PM0029,P00823328LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2021,61566702.65,61570860,12/26/2022,4/5/2022,JANN-NORRIS CONSTRUCTION AND SUPPLIES INC. (FORMELY: JANN-NORRIS CONSTRUCTION AND SUPPLIES),21P00020,P00525551LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,49000000,49000000,12/7/2022,4/7/2022,MA CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,22PJ0006,P00621479LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,49000000,49000000,12/29/2022,4/7/2022,C-BROS CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),22PJ0009,P00637066LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,76237286.54,24010000,3/5/2023,5/23/2022,DJY CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,22PJ0044,P00620480LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,65778152.24,65780190,7/21/2023,8/9/2022,DJY CONSTRUCTION,22P00066,P00620139LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2023,86849025.68,86850000,1/31/2024,5/7/2023,DJY CONSTRUCTION,23PJ0018,P00725655LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,19596856.89,19600000,8/18/2024,2/21/2024,MA CONSTRUCTION,24PJ0022,P00821539LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,78342073.18,78358000,9/25/2024,2/23/2024,DJY CONSTRUCTION,24PJ0018,P00823322LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,96492879.47,96500000,3/5/2025,3/18/2024,DJY CONSTRUCTION,24P00012,P00821143LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,Clustered with Contract ID 22PJ0044,31817660,3/5/2023,5/23/2022,DJY CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,22PJ0044,P00620481LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,Clustered with Contract ID 22PJ0044,20914465.8,3/5/2023,5/23/2022,DJY CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,22PJ0044,P00620482LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2023,57872873.51,57900000,11/6/2023,6/5/2023,C-BROS CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,23PJ0019,P00725654LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,96479015.97,98000000,5/27/2024,2/16/2024,MA CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,24PJ0017,P00820744LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,38109134.61,38105039.76,7/13/2023,8/9/2022,DJY CONSTRUCTION,22P00085,P00621004LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,12544591.72,12494941.19,4/22/2023,8/9/2022,LBJ CONSTRUCTION,22P00086,P00621502LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,48246600.07,48250000,12/1/2024,3/18/2024,DJY CONSTRUCTION,24P00016,P00821534LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,111608777.2,75007552.68,10/11/2023,10/14/2022,DJY CONSTRUCTION,22P00087,P00620805LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2022,Clustered with Contract ID 22P00087,36551362.81,10/11/2023,10/14/2022,DJY CONSTRUCTION,22P00087,P00621003LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2023,78902210.58,78908050,1/7/2024,4/12/2023,PAULA MAE BUHONG CONSTRUCTION / DJY CONSTRUCTION,23P00035,P00726856LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2023,32505326.94,32009050,1/19/2024,7/3/2023,DJY CONSTRUCTION / BEGAL DESIGN & CONSTRUCTION,23P00032,P00727096LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2023,30192773.8,29731650,2/1/2024,7/3/2023,DJY CONSTRUCTION / BEGAL DESIGN & CONSTRUCTION,23P00034,P00727097LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,96497181.48,96500000,10/31/2024,3/18/2024,PAULA MAE BUHONG CONSTRUCTION / DJY CONSTRUCTION,24P00030,P00820148LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,96496478.88,96500000,12/15/2024,3/18/2024,DJY CONSTRUCTION,24P00029,P00820152LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2023,4945128.34,4865109.77,11/10/2024,8/9/2023,MSMV CONSTRUCTION AND SUPPLY,23PG0047,P00742288LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,32666663.82,32239996.96,10/24/2024,2/13/2024,DJY CONSTRUCTION / SOUTHLAND CONSTRUCTION AND SUPPLIES,24PG0017,P00820742LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,67520258.68,67550000,8/27/2024,2/20/2024,JLY CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,24PJ0021,P00824841LZ,,,,,,,,,,,,,
XIV,Ifugao,Construction of Flood Mitigation Structure,2024,53661879.92,53675230,8/20/2024,2/23/2024,DJY CONSTRUCTION,24PJ0020,P00823323LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2019,14700000,13106844.5,11/14/2022,10/10/2019,RIMJ CONSTRUCTION SUPPLIES AND SERVICES (FOR: ROMINA CONSTRUCTION),19OC0091,P00320509LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,19600000,18915960,9/26/2022,3/31/2021,CALCON ENGINEERING,21OC0068,P00525776LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,19600000,19594378.86,9/22/2022,3/22/2022,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,21OC0040,P00525754LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,17626280,17626280,9/27/2022,3/22/2022,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,21OC0041,P00525755LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,29400000,29397313.67,10/7/2022,3/22/2022,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,21OC0045,P00525756LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,19600000,19599792.93,9/26/2022,3/22/2022,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,21OC0155,P00525757LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,19600000,19598319.74,9/27/2022,3/22/2022,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,21OC0044,P00525758LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,29400000,29399703.59,10/28/2022,3/22/2022,"PHILIPPINE CHEMSTEEL INDUSTRIES, INC.",21OC0042,P00525759LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,29400000,29399024.81,2/17/2023,5/24/2022,MACSTRENGTH CONSTRUCTION,21OC0036,P00525752LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Drainage Structure,2019,94953904.49,94907798.15,11/25/2022,11/21/2019,C.S.L. CONSTRUCTION CORPORATION / ST. TIMOTHY CONSTRUCTION CORPORATION,19O00034,P00320013LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2020,29397952.78,29397952.78,7/7/2022,10/16/2020,ROCKSTEEL CONSTRUCTION AND DEV'T CORPORATION,20OI0121,P00449023LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2021,MYCA with Project ID P00421301LZ,MYCA with Project ID P00421301LZ,10/24/2022,11/25/2020,AKN CONSTRUCTION CORPORATION,20OC0135,P00421301LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2020,98000000,96500000,10/24/2022,11/25/2020,AKN CONSTRUCTION CORPORATION,20OC0135,P00421301LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,9900000,9900000,9/2/2022,12/31/2021,M.P.Z. CARREON BUILDERS,21OC0165,P00561612LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,19600000,19593918.94,10/1/2022,2/22/2022,A.C. RIVERO DEVELOPMENT CORPORATION,21OC0144,P00525761LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,9800000,9800000,9/3/2022,2/22/2022,JALENZ CONSTRUCTION & SUPPLY,21OC0185,P00525762LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,9800000,9800000,9/19/2022,2/22/2022,CALCON ENGINEERING,21OC0169,P00525764LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,34300000,33648374.93,8/22/2022,3/1/2021,AARCON BUILDERS,21OC0101,P00561152LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,21560000,20481342.58,1/8/2023,3/22/2022,C.B. TAMPENGCO CONSTRUCTION & SUPPLY,21OC0048,P00525765LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,23540000,21412893,1/4/2023,3/22/2022,C.B. TAMPENGCO CONSTRUCTION & SUPPLY,21OC0049,P00525766LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,14700000,13963308.5,9/20/2022,5/24/2022,JP ESPIRITU CONSTRUCTION SERVICES AND SUPPLY,21OC0154,P00561155LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,9900000,9900000,11/5/2022,5/24/2022,JAYLOT TRADING & CONSTRUCTION,21OC0153,P00561611LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,29399531.36,27921189.21,8/24/2022,3/1/2021,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",21OB0186,P00561473LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999823.99,46534811.01,4/28/2023,5/14/2021,"F.P. DE GUZMAN CONSTRUCTION, INC.",21OB0175,P00525717LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,29399826.31,27918676.97,9/29/2022,8/13/2021,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)",21OB0177,P00525723LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,78399438.55,74449237.08,3/12/2023,11/2/2021,"L.R. TIQUI BUILDERS, INC.",21OB0264,P00525478LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999683.63,46531568.36,3/1/2023,11/3/2021,"L.R. TIQUI BUILDERS, INC.",21OB0261,P00525724LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,96499544.03,91626579.72,12/4/2022,2/8/2022,ROAD EDGE TRADING & DEVELOPMENT SERVICES,21OB0257,P00525746LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48204029.72,45548215.67,10/5/2022,2/8/2022,ROAD EDGE TRADING & DEVELOPMENT SERVICES,21OB0258,P00525747LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,57899928.9,54988500.69,2/9/2023,3/17/2022,11-16 CONSTRUCTION,21OB0312,P00525744LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,54805730.27,51780561.65,1/10/2023,3/17/2022,11-16 CONSTRUCTION,21OB0313,P00525745LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999662.04,46744194.3,8/20/2022,3/24/2021,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,21OE0090,P00525818LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999544.34,46940474.1,11/30/2022,6/9/2021,ST. TIMOTHY CONSTRUCTION CORPORATION,21OE0018,P00525819LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999472.53,46793689.84,10/20/2022,6/28/2021,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.),21OE0139,P00525828LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999905.97,47155728.25,10/27/2022,7/15/2021,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.),21OE0019,P00525827LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,48999945.63,47284638.82,2/24/2023,3/30/2022,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",21OE0128,P00561157LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,39954600,37994635.32,8/22/2022,4/12/2021,"E. F. CHUA CONSTRUCTION, INC.",21OC0028,P00525749LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Drainage Structure,2021,69300000,69300000,11/28/2022,4/12/2021,"A.L. SALAZAR CONSTRUCTION, INC.",21OC0147,P00561203LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,73500000,72368946.37,12/13/2022,6/22/2022,"E. F. CHUA CONSTRUCTION, INC.",22OC0180,P00525480LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,31782211.14,30193100.58,10/19/2022,7/28/2021,TUCHAR CONSTRUCTION CORP. (FORMERLY:TUCHAR CONSTRU,21OB0083,P00525721LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,29699590.39,28939547.94,11/19/2022,8/31/2021,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),21OH0138,P00561226LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,48999704.88,48985157.08,10/15/2022,11/10/2021,PERRC INC. (FORMERLY: P.E.R.R.C. CONSTRUCTION & DEVELOPMENT CORPORATION),21OG0138,P00525840LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,7919908.35,7914730.27,7/7/2022,11/10/2021,TWO DIMENSION CONSTRUCTION,21OG0093,P00561615LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,96465358.98,94052821.99,10/5/2022,11/11/2021,J. SIMEON CONSTRUCTION,21OD0132,P00561467LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Dike,2021,24745431.3,24460268.57,9/6/2022,11/11/2021,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,21OA0055,P00561605LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,68594595.17,67504048.83,11/16/2022,11/15/2021,IM CONSTRUCTION CORPORATION,21OA0056,P00561465LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,98000000,94973033,12/1/2022,12/7/2021,PRECIOUS CONSTRUCTION / DARCY & ANNA BUILDERS & TRADING,21OF0193,P00561443LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,98000000,94973033,12/28/2022,12/7/2021,PRECIOUS CONSTRUCTION / KING EIGHT BUILDERS AND SUPPLY,21OF0192,P00561444LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Slope Protection Structure,2021,28625800,27189705.07,12/16/2022,3/22/2022,"A.L. SALAZAR CONSTRUCTION, INC.",21OF0209,P00525836LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,85829995,82391142.18,3/17/2023,3/24/2022,"A.L. SALAZAR CONSTRUCTION, INC.",21OF0221,P00525501LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Drainage Structure,2021,9899186.02,9893831.88,3/5/2023,1/7/2022,AARCON BUILDERS,21OI0117,P00561206LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,14849352.77,14848853.2,7/5/2022,1/7/2022,R2CG BUILDERS INC. (FORMERLY: RRCG 8639 BUILDERS INC.),21OI0070,P00561603LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,74733984.07,74703599.44,12/13/2022,4/8/2022,"E. F. CHUA CONSTRUCTION, INC.",21OI0023,P00525475LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,74304723.04,74291808.62,12/13/2022,4/8/2022,"E. F. CHUA CONSTRUCTION, INC.",21OI0022,P00525476LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,74304910.06,74204302.44,12/13/2022,4/8/2022,"E. F. CHUA CONSTRUCTION, INC.",21OI0017,P00525477LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2021,14699777.54,13960378.73,7/31/2022,1/11/2022,1HB CONSTRUCTION CORP. (FORMERLY: HB CONSTRUCTION),21OB0241,P00561213LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2021,7839606.24,7445274.05,10/26/2022,2/24/2022,DAHL CONSTRUCTION CORP. (FORMERLY: DAHL CONSTRUCTION),21OB0208,P00561148LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Flood Control Structure,2021,9799569.58,9304693.59,7/23/2022,2/24/2022,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),21OB0242,P00561474LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2022,37548700,37548700,8/1/2022,2/4/2022,"TWO DIMENSION CONSTRUCTION / RJM CONSTRUCTION AND DEV'T., INC.",22OC0019,P00620367LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,5390000,5390000,10/5/2022,2/4/2022,C.B. TAMPENGCO CONSTRUCTION & SUPPLY,22OC0020,P00620371LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,19600000,19600000,7/3/2022,2/4/2022,THE STEADFAST BUILDERS,22OC0022,P00620373LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,27440000,27440000,7/3/2022,2/4/2022,THE STEADFAST BUILDERS,22OC0023,P00620374LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,3920000,3723510.28,12/1/2022,2/4/2022,ALEXA TRADING & CONSTRUCTION,22OC0024,P00620375LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,10780000,10240935.96,10/1/2022,2/4/2022,ALEXA TRADING & CONSTRUCTION,22OC0027,P00620378LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,17640000,17640000,7/3/2022,2/4/2022,THE STEADFAST BUILDERS,22OC0038,P00620389LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,22540000,22540000,8/7/2022,2/9/2022,QUATRIX CONSTRUCTION AND SUPPLY INC.,22OC0021,P00620372LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,11760000,11171751.54,10/6/2022,2/9/2022,ALEXA TRADING & CONSTRUCTION,22OC0028,P00620379LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,9800000,9728174.56,8/22/2022,2/9/2022,ALEXA TRADING & CONSTRUCTION,22OC0031,P00620382LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,29400000,29400000,7/8/2022,2/9/2022,QUATRIX CONSTRUCTION AND SUPPLY INC.,22OC0037,P00620388LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,13720000,13860000,7/20/2022,2/9/2022,QUATRIX CONSTRUCTION AND SUPPLY INC.,22OC0042,P00632712LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,9800000,9815215.1,9/6/2022,2/9/2022,ALEXA TRADING & CONSTRUCTION,22OC0043,P00632713LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,24500000,24491201.47,10/18/2022,2/15/2022,ALEXA TRADING & CONSTRUCTION,22OC0036,P00620387LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,4900000,4880675.03,8/18/2022,3/22/2022,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU,22OC0034,P00620385LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2022,49000000,48019963.25,3/16/2023,3/22/2022,"STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING) / RJM CONSTRUCTION AND DEV'T., INC.",22OC0136,P00637758LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2023,39600000,39599226.64,10/3/2023,2/6/2023,AARCON BUILDERS,23OC0022,P00737391LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2023,66585000,66566424.62,10/19/2023,2/15/2023,AKN CONSTRUCTION CORPORATION,23OC0017,P00725528LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2023,66585000,66584998.99,10/11/2023,2/15/2023,AKN CONSTRUCTION CORPORATION,23OC0018,P00725529LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2023,58571640,58565217.84,11/3/2023,2/15/2023,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU / AKN CONSTRUCTION CORPORATION,23OC0019,P00725530LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Drainage Structure,2023,5880000,5880000,5/23/2023,2/15/2023,LIZVIL CONSTRUCTION & SUPPLY,23OC0015,P00725976LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2023,29700000,29700000,7/14/2023,2/15/2023,THE STEADFAST BUILDERS,23OC0023,P00737392LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2023,49000000,48991852.57,3/7/2024,4/12/2023,AL-REM KONSTRUCT INC.,23OC0020,P00725977LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Facility,2023,62725000,61469424.33,3/26/2024,7/31/2023,KING EIGHT BUILDERS AND SUPPLY,23OC0016,P00725531LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2024,48893655,48889975.99,6/20/2024,2/20/2024,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU / AKN CONSTRUCTION CORPORATION,24OC0014,P00823262LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Facility,2024,48892690,48021877.09,2/28/2025,7/4/2024,QUATRIX CONSTRUCTION AND SUPPLY INC.,24OC0078,P00820049LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2022,49000000,48995853.71,10/1/2022,2/4/2022,SPRING STAR CONSTRUCTION AND SUPPLY,22OC0059,P00620368LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,24500000,24491160.45,12/19/2022,2/9/2022,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,22OC0061,P00620369LZ,,,,,,,,,,,,,
NCR,Metro Manila,Rehabilitation / Major Repair of Drainage Structure,2022,24500000,24495923.62,12/8/2022,2/9/2022,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,22OC0062,P00620370LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2022,6860000,6860000,11/5/2022,2/9/2022,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),22OC0072,P00631027LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2022,9800000,9800000,10/25/2022,2/9/2022,M.P.Z. CARREON BUILDERS,22OC0073,P00631028LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2022,96500000,96500000,12/12/2022,2/17/2022,R.M. NUNEZ CONSTRUCTION CORPORATION(FORMERLY R.M. / AKN CONSTRUCTION CORPORATION,22OC0058,P00620077LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2022,96500000,96500000,9/23/2023,2/17/2022,J.H. PAJARA CONSTRUCTION CORPORATION,22OC0060,P00620109LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Revetment,2022,49000000,46468523.24,11/16/2022,3/22/2022,SPRING STAR CONSTRUCTION AND SUPPLY,22OC0050,P00621418LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Facility,2022,96500000,96497599.08,6/16/2023,3/24/2022,AKN CONSTRUCTION CORPORATION,22OC0052,P00620026LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Facility,2022,96500000,96496182.97,5/17/2023,3/24/2022,AKN CONSTRUCTION CORPORATION,22OC0172,P00621130LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2022,14700000,14696791.82,1/17/2023,3/24/2022,EL KAPITAN CONSTRUCTION SERVICES,22OC0074,P00631029LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Facility,2022,95749230,95715093.42,5/13/2023,5/19/2022,ST. TIMOTHY CONSTRUCTION CORPORATION,22OC0054,P00620027LZ,,,,,,,,,,,,,
NCR,Metro Manila,Construction of Flood Mitigation Structure,2022,4950000,4950000,2/6/2023,10/10/2022,G.F. ROVERO MERCHANDISING,22OC0191,P00640486LZ,,,,,,,,,,,,,
